timestep,elapsed_s,x,y,heading_deg,speed_ms,speed_kmh,vx,vy,accel_ms2,steering,throttle_brake,total_dist_m,lane_changes,on_broken_line,crash_vehicle,crash_object,reward,cost,current_lane_id,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
34,12.8939,10.6705,0.0,0.0,3.5317,12.714,3.5317,0.0,35.3167,-0.0,0.83533,0.0,0,0,0,0,0.35056,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
35,13.3292,11.0284,0.0,0.0,3.7665,13.5593,3.7665,-0.0,2.34799,-0.0,0.82342,0.358,0,0,0,0,0.3748,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
36,13.4212,11.4096,0.0,0.0,3.9979,14.3925,3.9979,-0.0,2.31452,-0.0,0.81168,0.739,0,0,0,0,0.39925,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
37,13.608,11.814,0.0,0.0,4.2261,15.2138,4.2261,-0.0,2.28148,-0.0,0.8001,1.143,0,0,0,0,0.42336,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
38,13.7017,12.241,0.0,0.0,4.451,16.0235,4.451,-0.0,2.24895,-0.0,0.7887,1.571,0,0,0,0,0.44712,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
39,13.9199,12.6906,0.0,0.0,4.6727,16.8216,4.6727,0.0,2.21691,-0.0,0.77745,2.02,0,0,0,0,0.47054,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
40,14.2441,13.1622,0.0,-0.0,4.8912,17.6083,4.8912,-0.0,2.18534,-0.0,0.76637,2.492,0,0,0,0,0.49363,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
41,14.461,13.6556,0.0,-0.0,5.1066,18.3838,5.1066,-0.0,2.15416,-0.0,0.75544,2.985,0,0,0,0,0.51639,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
42,14.6025,14.1705,0.0,-0.0,5.319,19.1482,5.319,-0.0,2.12345,-0.0,0.74467,3.5,0,0,0,0,0.53883,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
43,14.7868,14.7066,0.0,-0.0,5.5283,19.9017,5.5283,-0.0,2.09312,-0.0,0.73405,4.036,0,0,0,0,0.56095,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
44,16.0126,15.2635,0.0,-0.0,5.7346,20.6445,5.7346,-0.0,2.06327,-0.0,0.72359,4.593,0,0,0,0,0.58275,0.0,"('>>', '>>>', 2)",,,,,,,,,,,,
